date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:45:26	223/223	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2023%20Dec%202017%2020:45:26%20GMT	http://zertek-rp.fr/css/fonts/steelfishrg.ttf	D:/a%20garder/--------------------------------------------/FileSteal%20site/Zertek/zertek-rp.fr/css/fonts/steelfishrg.ttf	(from http://zertek-rp.fr/css/stylish-portfolio.css)
21:45:29	23424/23424	---M--	200	added ('OK')	text/plain	etag:%22ec8bc2ef-5b80-54481c7234280%22	http://zertek-rp.fr/fonts/glyphicons-halflings-regular.woff	D:/a%20garder/--------------------------------------------/FileSteal%20site/Zertek/zertek-rp.fr/fonts/glyphicons-halflings-regular.woff	(from http://zertek-rp.fr/css/bootstrap.min.css)
21:45:29	213/213	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2023%20Dec%202017%2020:45:29%20GMT	http://zertek-rp.fr/img/callout.jpg	D:/a%20garder/--------------------------------------------/FileSteal%20site/Zertek/zertek-rp.fr/img/callout.15.delayed	(from http://zertek-rp.fr/css/stylish-portfolio.css)
21:45:30	281635/281635	---M--	200	added ('OK')	image/jpeg	etag:%22eae6187e-44c23-54481c73284c0%22	http://zertek-rp.fr/img/m3DHYTJ.jpg	D:/a%20garder/--------------------------------------------/FileSteal%20site/Zertek/zertek-rp.fr/img/m3DHYTJ.jpg	(from http://zertek-rp.fr/)
21:45:33	45404/45404	---M--	200	added ('OK')	text/plain	etag:%22ec8bc2ee-b15c-54481c7234280%22	http://zertek-rp.fr/fonts/glyphicons-halflings-regular.ttf	D:/a%20garder/--------------------------------------------/FileSteal%20site/Zertek/zertek-rp.fr/fonts/glyphicons-halflings-regular.ttf	(from http://zertek-rp.fr/css/bootstrap.min.css)
21:45:39	60767/60767	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%22ece8e4ae-ed5f-54481c741c700%22	http://zertek-rp.fr/font-awesome/fonts/fontawesome-webfont.eot?v=4.3.0	D:/a%20garder/--------------------------------------------/FileSteal%20site/Zertek/zertek-rp.fr/font-awesome/fonts/fontawesome-webfonte0a5.eot	(from http://zertek-rp.fr/font-awesome/css/font-awesome.min.css)
21:45:40	60767/60767	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%22ece8e4ae-ed5f-54481c741c700%22	http://zertek-rp.fr/font-awesome/fonts/fontawesome-webfont.eot?	D:/a%20garder/--------------------------------------------/FileSteal%20site/Zertek/zertek-rp.fr/font-awesome/fonts/fontawesome-webfontd41d.eot	(from http://zertek-rp.fr/font-awesome/css/font-awesome.min.css)
21:45:42	56780/56780	---M--	200	added ('OK')	text/plain	etag:%22ece8e4b2-ddcc-54481c741c700%22	http://zertek-rp.fr/font-awesome/fonts/fontawesome-webfont.woff2?v=4.3.0	D:/a%20garder/--------------------------------------------/FileSteal%20site/Zertek/zertek-rp.fr/font-awesome/fonts/fontawesome-webfonte0a5.woff2	(from http://zertek-rp.fr/font-awesome/css/font-awesome.min.css)
21:45:44	313398/313398	---M--	200	added ('OK')	image/svg+xml	etag:%22ece8e4af-4c836-54481c741c700%22	http://zertek-rp.fr/font-awesome/fonts/fontawesome-webfont.svg?v=4.3.0	D:/a%20garder/--------------------------------------------/FileSteal%20site/Zertek/zertek-rp.fr/font-awesome/fonts/fontawesome-webfonte0a5.svg	(from http://zertek-rp.fr/font-awesome/css/font-awesome.min.css)
21:45:45	113437/113437	---M--	200	added ('OK')	image/jpeg	etag:%22eae6187b-1bb1d-54481c73284c0%22	http://zertek-rp.fr/img/AqL5fAk.jpg	D:/a%20garder/--------------------------------------------/FileSteal%20site/Zertek/zertek-rp.fr/img/AqL5fAk.jpg	(from http://zertek-rp.fr/css/stylish-portfolio.css)
21:45:48	71508/71508	---M--	200	added ('OK')	text/plain	etag:%22ece8e4b1-11754-54481c741c700%22	http://zertek-rp.fr/font-awesome/fonts/fontawesome-webfont.woff?v=4.3.0	D:/a%20garder/--------------------------------------------/FileSteal%20site/Zertek/zertek-rp.fr/font-awesome/fonts/fontawesome-webfonte0a5.woff	(from http://zertek-rp.fr/font-awesome/css/font-awesome.min.css)
21:45:51	122092/122092	---M--	200	added ('OK')	text/plain	etag:%22ece8e4b0-1dcec-54481c741c700%22	http://zertek-rp.fr/font-awesome/fonts/fontawesome-webfont.ttf?v=4.3.0	D:/a%20garder/--------------------------------------------/FileSteal%20site/Zertek/zertek-rp.fr/font-awesome/fonts/fontawesome-webfonte0a5.ttf	(from http://zertek-rp.fr/font-awesome/css/font-awesome.min.css)
